code_system,medcode_id,description
CPRD_medcode,276469011,Anterior decompression of fracture of spine
CPRD_medcode,5964821000006114,Anterior wedge fracture of vertebra
CPRD_medcode,7701301000006118,Arthroscopic primary reduction and fixation of fracture of neck of femur using dynamic hip screw
CPRD_medcode,4214001000006116,Arthroscopy of wrist with internal fixation for fracture
CPRD_medcode,7531571000006112,Avulsion fracture of medial epicondyle of humerus
CPRD_medcode,2674037014,Balloon kyphoplasty of fracture of spine
CPRD_medcode,503551000006112,Barr skull traction for fracture of spine
CPRD_medcode,3386781000006111,Barton's fracture
CPRD_medcode,5462311000006119,Basal cervical fracture of neck of femur
CPRD_medcode,5462301000006117,Basicervical fracture of neck of femur
CPRD_medcode,5657771000006116,Burst fracture of cervical vertebra
CPRD_medcode,5657991000006118,Burst fracture of lumbar vertebra
CPRD_medcode,5657881000006111,Burst fracture of thoracic vertebra
CPRD_medcode,6048931000006112,Burst fracture of vertebra
CPRD_medcode,7059491000006114,Chauffeur's fracture
CPRD_medcode,557961000006116,Cl red intracaps frac neck femur fix-Garden cannulated screw
CPRD_medcode,7058191000006111,Closed avulsion fracture of greater trochanter of femur
CPRD_medcode,5971981000006111,Closed Barton fracture
CPRD_medcode,451061019,Closed Barton's fracture
CPRD_medcode,402859019,Closed Colles' fracture
CPRD_medcode,4842291000006112,Closed dorsal Barton fracture
CPRD_medcode,561311000006117,Closed dorsal Barton fracture-subluxation
CPRD_medcode,559791000006116,Closed dorsal Barton's fracture
CPRD_medcode,561321000006113,Closed dorsal Barton's fracture-dislocation
CPRD_medcode,318859016,Closed extraarticular fracture of distal radius
CPRD_medcode,565251000006112,Closed fracture dislocation distal radioulnar joint
CPRD_medcode,4849521000006117,Closed fracture dislocation of hip joint
CPRD_medcode,319961016,Closed fracture dislocation of wrist
CPRD_medcode,4848921000006116,Closed fracture dislocation radiocarpal joint
CPRD_medcode,565451000006113,"Closed fracture dislocation, hip joint"
CPRD_medcode,318790012,"Closed fracture distal humerus, bicondylar (T-Y fracture)"
CPRD_medcode,318789015,"Closed fracture distal humerus, capitellum"
CPRD_medcode,318784013,"Closed fracture distal humerus, lateral condyle"
CPRD_medcode,318788011,"Closed fracture distal humerus, lateral epicondyle"
CPRD_medcode,1222634011,"Closed fracture distal humerus, medial epicondyle"
CPRD_medcode,1231853014,"Closed fracture distal humerus, supracondylar"
CPRD_medcode,318858012,"Closed fracture distal radius, intra-articular, die-punch"
CPRD_medcode,318862018,"Closed fracture distal radius, intra-articular, other type"
CPRD_medcode,319090013,Closed fracture head of femur
CPRD_medcode,14198701000006111,Closed fracture involving thorax with lower back and pelvis and limbs 2
CPRD_medcode,562351000006114,Closed fracture involving thorax wth lower back and pelvis and limbs
CPRD_medcode,318454018,Closed fracture lumbar vertebra
CPRD_medcode,318455017,"Closed fracture lumbar vertebra, burst"
CPRD_medcode,318460018,"Closed fracture lumbar vertebra, posterior arch"
CPRD_medcode,318458015,"Closed fracture lumbar vertebra, spinous process"
CPRD_medcode,318457013,"Closed fracture lumbar vertebra, spondylolysis"
CPRD_medcode,318459011,"Closed fracture lumbar vertebra, transverse process"
CPRD_medcode,318461019,"Closed fracture lumbar vertebra, tricolumnar"
CPRD_medcode,318456016,"Closed fracture lumbar vertebra, wedge"
CPRD_medcode,4841801000006113,Closed fracture of anatomical neck of humerus
CPRD_medcode,564391000006113,Closed fracture of base of neck of femur
CPRD_medcode,2525641000006118,Closed fracture of cervicotrochanteric section of femur
CPRD_medcode,3813561000006116,Closed fracture of condyle of humerus
CPRD_medcode,3070931000006119,Closed fracture of distal end of forearm
CPRD_medcode,5510011000006110,Closed fracture of distal end of humerus
CPRD_medcode,402860012,Closed fracture of distal end of radius
CPRD_medcode,318846012,closed fracture of distal end of ulna
CPRD_medcode,318786010,"Closed fracture of distal humerus, condyle(s) unspecified"
CPRD_medcode,318791011,"Closed fracture of distal humerus, multiple"
CPRD_medcode,318792016,"Closed fracture of distal humerus, not otherwise specified"
CPRD_medcode,318787018,"Closed fracture of distal humerus, trochlea"
CPRD_medcode,411307011,"Closed fracture of femur, greater trochanter"
CPRD_medcode,411308018,"Closed fracture of femur, lesser trochanter"
CPRD_medcode,411305015,"Closed fracture of femur, subcapital"
CPRD_medcode,299771000000110,"Closed fracture of femur, upper epiphysis"
CPRD_medcode,318838011,"Closed fracture of forearm, lower end, unspecified"
CPRD_medcode,9383621000006111,Closed fracture of fourth lumbar vertebra
CPRD_medcode,5572321000006113,Closed fracture of greater trochanter of femur
CPRD_medcode,4843731000006114,Closed fracture of head of femur
CPRD_medcode,564541000006113,Closed fracture of head of humerus
CPRD_medcode,13712711000006119,Closed fracture of head of left femur
CPRD_medcode,2598311000006113,Closed fracture of head of ulna
CPRD_medcode,6206851000006110,Closed fracture of hip
CPRD_medcode,318773018,Closed fracture of humerus
CPRD_medcode,318774012,Closed fracture of humerus NOS
CPRD_medcode,1235549012,"Closed fracture of humerus, shaft"
CPRD_medcode,318775013,"Closed fracture of humerus, shaft or unspecified part NOS"
CPRD_medcode,318755016,"Closed fracture of humerus, upper epiphysis"
CPRD_medcode,570541000006112,Closed fracture of intracapsular section of femur
CPRD_medcode,5572341000006118,Closed fracture of lesser trochanter of femur
CPRD_medcode,318864017,Closed fracture of lower end of forearm
CPRD_medcode,5510001000006112,Closed fracture of lower end of humerus
CPRD_medcode,2773201000006116,Closed fracture of lower end of radius
CPRD_medcode,3034241000006111,Closed fracture of lower end of radius AND ulna 3
CPRD_medcode,318556018,Closed fracture of lumbar spine with spinal cord lesion
CPRD_medcode,3305281000006114,Closed fracture of lumbar vertebra with spinal cord injury
CPRD_medcode,318785014,Closed fracture of medial condyle of humerus
CPRD_medcode,13716941000006116,Closed fracture of metaphysis of distal end of left radius
CPRD_medcode,13716951000006119,Closed fracture of metaphysis of distal end of right radius
CPRD_medcode,402874017,Closed fracture of neck of femur
CPRD_medcode,3691131000006111,Closed fracture of neck of humerus
CPRD_medcode,3187271000006113,Closed fracture of proximal end of humerus
CPRD_medcode,319118015,"Closed fracture of proximal femur, pertrochanteric"
CPRD_medcode,318758019,Closed fracture of proximal humerus not otherwise specified
CPRD_medcode,318752018,"Closed fracture of proximal humerus, anatomical neck"
CPRD_medcode,485443016,"Closed fracture of radius and ulna, lower end"
CPRD_medcode,9383571000006113,Closed fracture of second lumbar vertebra
CPRD_medcode,3966821000006110,Closed fracture of shaft of humerus
CPRD_medcode,318599011,Closed fracture of spine with spinal cord lesion unspecified
CPRD_medcode,3160991000006117,Closed fracture of styloid process of ulna
CPRD_medcode,3691121000006113,Closed fracture of surgical neck of humerus
CPRD_medcode,2630601000006119,Closed fracture of T7-T12 level with central cord syndrome
CPRD_medcode,3679141000006111,Closed fracture of T7-T12 level with spinal cord injury
CPRD_medcode,402854012,Closed fracture of the distal humerus
CPRD_medcode,1229897016,Closed fracture of the proximal humerus
CPRD_medcode,9383601000006118,Closed fracture of third lumbar vertebra
CPRD_medcode,3215821000006117,Closed fracture of thoracic region with spinal cord injury
CPRD_medcode,563961000006116,Closed fracture of thoracic spine with cord lesion NOS
CPRD_medcode,318528011,Closed fracture of thoracic spine with spinal cord lesion
CPRD_medcode,318845011,"Closed fracture of ulna, lower epiphysis"
CPRD_medcode,1229710011,"Closed fracture of ulna, styloid process"
CPRD_medcode,318750014,Closed fracture of upper end of humerus
CPRD_medcode,318493010,Closed fracture of vertebral column
CPRD_medcode,54541000006116,closed fracture of wrist
CPRD_medcode,570561000006111,"Closed fracture proximal femur, intertrochanteric, comminuted"
CPRD_medcode,319123015,"Closed fracture proximal femur, intertrochanteric, two part"
CPRD_medcode,319087019,"Closed fracture proximal femur, midcervical section"
CPRD_medcode,402869013,"Closed fracture proximal femur, other transcervical"
CPRD_medcode,319092017,"Closed fracture proximal femur, subcapital, Garden grade I"
CPRD_medcode,319093010,"Closed fracture proximal femur, subcapital, Garden grade II"
CPRD_medcode,319094016,"Closed fracture proximal femur, subcapital, Garden grade III"
CPRD_medcode,319095015,"Closed fracture proximal femur, subcapital, Garden grade IV"
CPRD_medcode,319124014,"Closed fracture proximal femur, subtrochanteric"
CPRD_medcode,319084014,"Closed fracture proximal femur, transcervical"
CPRD_medcode,564491000006115,"Closed fracture proximal femur, transcervical, NOS"
